date,time,sport,teams,comp,channel
15 Jun,1:00PM,Handball,Nantes - Barcelona,Champions League,cro-arena-sport-1
15 Jun,4:00PM,Handball,Fuchse Berlin - SC Magdeburg,Champions League,cro-arena-sport-1
15 Jun,11:00AM,Volleyball,Poland - Serbia,Nations League,rs-arena-premium-1
15 Jun,1:00PM,Handball,Nantes - Barcelona,Champions League,rs-arena-premium-1
15 Jun,4:00PM,Handball,Fuchse Berlin - SC Magdeburg,Champions League,rs-arena-premium-1
15 Jun,6:30PM,Basketball,"Partizan Mozzart bet - FMP Soccerbet, G1",KLS,rs-arena-premium-1
16 Jun,5:00PM,Basketball,Spartak Office Shoes - Crvena zvezda Meridianbet G2,KLS,rs-arena-premium-1
16 Jun,7:15PM,Basketball,"Tenerife - Valencia, polufinale G4*",ŠPANSKA LIGA,rs-arena-premium-1
17 Jun,12:30AM,Basketball,Oklahoma City Thunder - Indiana Pacers,NBA,rs-arena-premium-1
17 Jun,5:00PM,Basketball,FMP Soccerbet - Partizan Mozzart bet G2,KLS,rs-arena-premium-1
17 Jun,7:15PM,Basketball,"Unicaja - Real Madrid, polufinale G4*",ŠPANSKA LIGA,rs-arena-premium-1
18 Jun,12:00AM,Ice Hockey,Florida Panthers - Edmonton Oilers,NHL,rs-arena-premium-1
18 Jun,11:00AM,Volleyball,France W - Germany W,Nations League Women,rs-arena-premium-1
18 Jun,2:30PM,Volleyball,Netherlands W - Poland W,Nations League Women,rs-arena-premium-1
18 Jun,6:00PM,Volleyball,Serbia W - USA W,Nations League Women,rs-arena-premium-1
15 Jun,10:00AM,Tennis,Elena Gabriela Ruse - Elise Mertens,WTA Hertogenbosch,rs-arena-sport-1
15 Jun,12:30PM,Tennis,Amanda Anisimova - Tatjana Maria,WTA London,rs-arena-sport-1
15 Jun,4:00PM,Basketball,Bayern - Ulm,BBL,rs-arena-sport-1
15 Jun,6:30PM,Volleyball,Germany - France,Nations League,rs-arena-sport-1
15 Jun,3:55PM,Football,England U21 - Slovenia U21,Euro U21,arena-sport-1-slo
15 Jun,6:55PM,Football,Czech Republic U21 - Germany U21,Euro U21,arena-sport-1-slo
17 Jun,12:30AM,Basketball,Oklahoma City Thunder - Indiana Pacers,NBA,arena-sport-1-slo
17 Jun,3:55PM,Football,France U21 - Poland U21,Euro U21,arena-sport-1-slo
17 Jun,6:55PM,Football,Spain U21 - Italy U21,Euro U21,arena-sport-1-slo
18 Jun,6:55PM,Football,Slovenia U21 - Czech Republic U21,Euro U21,arena-sport-1-slo
20 Jun,7:00PM,Athletics,Pariz,Diamantna Liga 2025,arena-sport-1-slo
15 Jun,8:30PM,Motorsport,Chilango 150,Priamy prenos z pretekov NASCAR Xfinity Series. (Motorizmus),sk-arena-sport-1
18 Jun,6:00PM,Basketball,ratiopharm ulm - FC Bayern München Basketball,Priamy prenos z 2. zápasu finále nemeckej BBL bundesligy. (Basketbal),sk-arena-sport-1
21 Jun,7:30PM,Motorsport,Explore the Pocono Mountains 250,Priamy prenos z pretekov NASCAR Xfinity Series. (Motorizmus),sk-arena-sport-1
15 Jun,2:30PM,Volleyball,Croatia W - Romania W,Golden League W,cro-arena-sport-2
15 Jun,5:30PM,Volleyball,Croatia - Romania,Golden League,cro-arena-sport-2
15 Jun,1:00PM,Volleyball,Brazil - Slovenia,Nations League,rs-arena-premium-2
15 Jun,3:00PM,Basketball,Unicaja - Real Madrid,ACB,rs-arena-premium-2
15 Jun,6:00PM,Motorsport,Kanada: Trka,FORMULA 1,rs-arena-premium-2
17 Jun,3:50PM,Basketball,Zalgiris Kaunas - Lietuvos Rytas,LKL,rs-arena-premium-2
17 Jun,6:30PM,Basketball,Brescia - Virtus Bologna,Lega A,rs-arena-premium-2
18 Jun,2:30PM,Basketball,Turkey W - France W,Eurobasket Women,rs-arena-premium-2
18 Jun,7:00PM,Basketball,Serbia W - Italy W,Eurobasket Women,rs-arena-premium-2
15 Jun,10:00AM,Volleyball,"Jurmala, muškarci finale",Beach Pro Tour,rs-arena-sport-2
15 Jun,12:00PM,Tennis,Alexander Zverev - Taylor Harry Fritz,ATP Stuttgart,rs-arena-sport-2
15 Jun,3:00PM,Volleyball,Argentina - Italy,Nations League,rs-arena-sport-2
15 Jun,5:40PM,Baseball,New York Mets - Tampa Bay Rays,MLB,rs-arena-sport-2
15 Jun,1:15PM,Cycling,Küssnacht - Küssnacht,Flat | 129 km | 2200 m,arena-sport-2-slo
15 Jun,4:00PM,Athletics,Stockholm,Diamantna Liga 2025,arena-sport-2-slo
16 Jun,12:55PM,Cycling,Aarau - Schwarzsee,Flat | 177 km | 2400 m,arena-sport-2-slo
17 Jun,12:55PM,Cycling,Aarau - Heiden,Flat | 195 km | 2800 m,arena-sport-2-slo
17 Jun,3:55PM,Football,Georgia U21 - Portugal U21,Euro U21,arena-sport-2-slo
17 Jun,6:55PM,Football,Romania U21 - Slovakia U21,Euro U21,arena-sport-2-slo
18 Jun,12:55PM,Cycling,Heiden - Piuro,Hilly | 193 km | 2800 m,arena-sport-2-slo
18 Jun,3:55PM,Football,Denmark U21 - Finland U21,Euro U21,arena-sport-2-slo
18 Jun,8:10PM,Baseball,Seattle Mariners - Boston Red Sox,MLB,arena-sport-2-slo
19 Jun,12:55PM,Cycling,La Punt - Santa Maria,Flat | 183 km | 2100 m,arena-sport-2-slo
20 Jun,12:55PM,Cycling,Chur - Neuhausen,Hilly | 186 km | 4000 m,arena-sport-2-slo
21 Jun,12:55PM,Cycling,Neuhausen - Emmetten,Hilly | 207 km | 3100 m,arena-sport-2-slo
21 Jun,7:00PM,Football,Real Oviedo - Mirandes,LaLiga 1 2 3,arena-sport-2-slo
22 Jun,1:10PM,Cycling,Beckenried - Stockhütte,ITT | 10 km | 840 m,arena-sport-2-slo
15 Jun,1:00PM,Tennis,Lexus Ilkley Open - finále,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
15 Jun,3:45PM,Basketball,Bayern - Ulm,BBL,sk-arena-sport-2
16 Jun,1:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
16 Jun,3:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
16 Jun,6:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
17 Jun,9:30AM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
17 Jun,11:30AM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
17 Jun,1:30PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
17 Jun,6:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
18 Jun,9:30AM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
18 Jun,11:30AM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
18 Jun,1:30PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
18 Jun,6:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
19 Jun,10:00AM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
19 Jun,12:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
19 Jun,2:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
19 Jun,6:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
20 Jun,1:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
20 Jun,3:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
21 Jun,3:00PM,Tennis,Emilia-Romagna Tennis Cup,Priamy prenos z tenisového turnaja mužov ATP Challenger. (Tenis),sk-arena-sport-2
15 Jun,1:30PM,Cycling,Küssnacht - Küssnacht,Flat | 129 km | 2200 m,cro-arena-sport-3
15 Jun,4:00PM,Athletics,STOCKHOLM,DIJAMANTNA LIGA,cro-arena-sport-3
15 Jun,2:30PM,Basketball,Paris - Monaco,LNB,rs-arena-premium-3
15 Jun,5:00PM,Football,Mirandes - Real Oviedo,LaLiga 1 2 3,rs-arena-premium-3
15 Jun,7:00PM,Motorsport,NCS Race at Mexico City,NASCAR CUP SERIES,rs-arena-premium-3
16 Jun,12:50PM,Cycling,Aarau - Schwarzsee,Flat | 177 km | 2400 m,rs-arena-premium-3
17 Jun,12:50PM,Cycling,Aarau - Heiden,Flat | 195 km | 2800 m,rs-arena-premium-3
17 Jun,4:00PM,Athletics,Paavo Nurmi Games,World Athletics Continental Tour,rs-arena-premium-3
17 Jun,6:30PM,Basketball,Paris - Monaco,LNB,rs-arena-premium-3
18 Jun,9:00AM,Volleyball,Thailand W - Japan W,Nations League Women,rs-arena-premium-3
18 Jun,12:30PM,Volleyball,Czech Republic W - China W,Nations League Women,rs-arena-premium-3
18 Jun,3:30PM,Basketball,Slovenia W - Lithuania W,Eurobasket Women,rs-arena-premium-3
18 Jun,7:15PM,Basketball,"Finale, G1***",ŠPANSKA LIGA,rs-arena-premium-3
15 Jun,12:30PM,Tennis,Zizou Bergs - Gabriel Diallo,ATP Hertogenbosch,rs-arena-sport-3
15 Jun,4:00PM,Athletics,Stokholm,DIJAMANTSKA LIGA,rs-arena-sport-3
18 Jun,12:50PM,Cycling,Heiden - Piuro,Hilly | 193 km | 2800 m,rs-arena-sport-3
18 Jun,5:30PM,Basketball,Greece W - Switzerland W,Eurobasket Women,rs-arena-sport-3
15 Jun,3:55PM,Football,Finland U21 - Ukraine U21,Euro U21,arena-sport-3-slo
17 Jun,4:00PM,Athletics,Paavo Nurmi Games Turku,World Athletics Continental Tour Gold 2025,arena-sport-3-slo
18 Jun,3:55PM,Football,Netherlands U21 - Ukraine U21,Euro U21,arena-sport-3-slo
15 Jun,5:30PM,Handball,3. MJESTO I FINALE M/W,EUROPE CHAMPIONSHIP,cro-arena-sport-4
15 Jun,1:10PM,Cycling,Küssnacht - Küssnacht,Flat | 129 km | 2200 m,rs-arena-sport-4
15 Jun,4:00PM,Basketball,Veliko Gradšte,MTS Streetball League,rs-arena-sport-4
15 Jun,5:00PM,Football,Mirandes - Real Oviedo,LaLiga 1 2 3,cro-arena-sport-5
15 Jun,11:00AM,Darts,Northern Ireland - Ireland,PDC World Cup of Darts,rs-arena-sport-5
15 Jun,12:10PM,Darts,Germany - Australia,PDC World Cup of Darts,rs-arena-sport-5
15 Jun,1:10PM,Darts,Wales - Hong Kong,PDC World Cup of Darts,rs-arena-sport-5
15 Jun,2:10PM,Darts,Netherlands - Czech Republic,PDC World Cup of Darts,rs-arena-sport-5
15 Jun,5:00PM,Darts,Polufinala i finala,SVETSKI KUP,rs-arena-sport-5
15 Jun,5:30PM,Baseball,New York Mets - Tampa Bay Rays,MLB,arena-sport-6
15 Jun,11:55AM,Basketball,"Vienna, četvrtfinala, polufinala i finale",FIBA 3x3 World Tour,rs-arena-sport-6
15 Jun,12:00PM,Motorsport,FIA WEC: 24 Hours Le Mans,World Endurance Championship,rs-arena-sport-7
15 Jun,5:00PM,Volleyball,Montenegro - Finland,Golden League,rs-arena-sport-7
15 Jun,12:45PM,Horse Racing,Sombor - Pehar grada Sombora,KASAČKE TRKE,rs-arena-sport-8
15 Jun,2:30PM,Volleyball,Croatia W - Romania W,Golden League W,arena-sport-bih
15 Jun,5:30PM,Volleyball,Croatia - Romania,Golden League,arena-sport-bih
15 Jun,10:00AM,Football, NZL lwn JPN,Hoki Nations Cup 2025,astro-arena
16 Jun,2:30PM,Football,PM bersama AM 2025,PM bersama AM 2025,astro-arena
15 Jun,9:00AM,Motorsport,24 Horas de Le Mans,WEC,bandsports
15 Jun,3:00PM,Motorsport,GP do Canadá - Corrida 3,F1 Academy,bandsports
15 Jun,6:00PM,Futsal,Leoas da Serra x ADEF/APCEF,Liga Feminina de Futsal,bandsports
15 Jun,8:00PM,Futsal,Pato Futsal x ESMAC,Taça Brasil de Futsal,bandsports
16 Jun,10:00AM,Tennis,Live Lexus Nottingham Open - Nottingham Tennis Centre,WTA,bbc-iplayer
16 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-iplayer
17 Jun,10:00AM,Tennis,Live Lexus Nottingham Open - Nottingham Tennis Centre,WTA,bbc-iplayer
17 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-iplayer
17 Jun,5:00PM,Football,Germany U19 - England U19,Euro U19,bbc-iplayer
18 Jun,10:00AM,Tennis,Live Lexus Nottingham Open - Nottingham Tennis Centre,WTA,bbc-iplayer
18 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-iplayer
18 Jun,3:00PM,Football,Portugal U19 W - England U19 W,Euro U19 Women,bbc-iplayer
19 Jun,10:00AM,Tennis,Live Lexus Nottingham Open - Nottingham Tennis Centre,WTA,bbc-iplayer
19 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-iplayer
20 Jun,10:00AM,Tennis,Live Lexus Nottingham Open - Nottingham Tennis Centre,WTA,bbc-iplayer
20 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-iplayer
20 Jun,5:00PM,Football,Netherlands U19 - England U19,Euro U19,bbc-iplayer
20 Jun,7:00PM,Athletics,Live Meeting de Paris - Stade SÃ©bastien CharlÃ©tyParis,IAAF Diamond League,bbc-iplayer
21 Jun,10:00AM,Tennis,Live Lexus Nottingham Open - Nottingham Tennis Centre,WTA,bbc-iplayer
21 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-iplayer
21 Jun,5:00PM,Football,Spain U19 W - England U19 W,Euro U19 Women,bbc-iplayer
22 Jun,10:00AM,Tennis,Live Lexus Nottingham Open - Nottingham Tennis Centre,WTA,bbc-iplayer
22 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-iplayer
23 Jun,10:00AM,Tennis,"Wimbledon Qualifying Matches from All England Lawn Tennis Club, UK",Grand Slam Tennis,bbc-iplayer
16 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-1
17 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-1
18 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-1
19 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-1
20 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-1
21 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-1
22 Jun,12:00PM,Tennis,"Live HSBC Championships - The Queens Club, London",ATP,bbc-1
20 Jun,7:00PM,Athletics,Live Meeting de Paris - Stade SÃ©bastien CharlÃ©tyParis,IAAF Diamond League,bbc3
15 Jun,12:30PM,Tennis,Zizou Bergs - Gabriel Diallo,ATP Hertogenbosch,au-bein-sports-1
16 Jun,11:00AM,Tennis,Queen's Day 1,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-1
16 Jun,5:00PM,Tennis,Queen's Evening 1,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-1
17 Jun,11:00AM,Tennis,Queen's Day 2,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-1
17 Jun,5:00PM,Tennis,Queen's Evening 2,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-1
18 Jun,11:00AM,Tennis,Queen's Day 3,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-1
18 Jun,5:00PM,Tennis,Queen's Evening 3,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-1
17 Jun,12:00AM,Basketball,Oklahoma City Thunder - Indiana Pacers,NBA,qa-bein-sports-1
15 Jun,12:00PM,Tennis,Alexander Zverev - Taylor Harry Fritz,ATP Stuttgart,au-bein-sports-2
16 Jun,9:30AM,Tennis,Halle Day 1,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-2
16 Jun,3:30PM,Tennis,Halle Evening 1,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-2
17 Jun,9:30AM,Tennis,Halle Day 2,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-2
17 Jun,1:30PM,Tennis,Halle Evening 2,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-2
18 Jun,9:30AM,Tennis,Halle Day 3,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-2
18 Jun,3:30PM,Tennis,Halle Evening 3,Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.Exclusive coverage of the 2024 ATP Tour on beIN SPORTS as the world's best male players battle it out across the globe to be #1.,au-bein-sports-2
15 Jun,4:53PM,Football,Mirandes - Real Oviedo,LaLiga 1 2 3,au-bein-sports-3
15 Jun,8:00AM,Motorsport,Race - Session 7 - 24H Le Mans Round - 2025 FIA World Endurance Championship,"The FIA WEC returns to Europe for Round 2 at the historic Imola circuit. Top manufacturers like Ferrari, Toyota, and Porsche compete in a six-hour endurance battle, navigating 21 challenging turns over 4.9 km. Expect strategic pit stops, variable weather conditions, and fierce competition as teams vie for championship points in the Hypercar and LMGT3 classes.",qa-bein-sports-5
15 Jun,11:00AM,Motorsport,Race - Session 8 - 24H Le Mans Round - 2025 FIA World Endurance Championship,"The FIA WEC returns to Europe for Round 2 at the historic Imola circuit. Top manufacturers like Ferrari, Toyota, and Porsche compete in a six-hour endurance battle, navigating 21 challenging turns over 4.9 km. Expect strategic pit stops, variable weather conditions, and fierce competition as teams vie for championship points in the Hypercar and LMGT3 classes.",qa-bein-sports-5
15 Jun,2:50PM,Football,England U19 W - Netherlands U19 W,Euro U19 Women,qa-bein-sports-5
18 Jun,2:30PM,Basketball,Turkey W - France W,Eurobasket Women,qa-bein-sports-5
18 Jun,4:50PM,Football,Sweden U19 W - Italy U19 W,Euro U19 Women,qa-bein-sports-5
19 Jun,3:30PM,Basketball,Lithuania W - Serbia W,Eurobasket Women,qa-bein-sports-5
19 Jun,7:00PM,Basketball,Italy W - Slovenia W,Eurobasket Women,qa-bein-sports-5
15 Jun,9:00AM,Motorsport,Sprint Race - World Super Bike - Emilia Romagna Round,"The Superbike World Championship roars into Portugal for another adrenaline-fueled showdown at the Autódromo Internacional do Algarve. Watch as the world’s top riders battle for supremacy on high-speed straights and technical corners, pushing their machines to the limit. Expect fierce rivalries, last-lap duels, and heart-stopping action in this thrilling Race 2 clash.",qa-bein-sports-6
15 Jun,12:00PM,Motorsport,Race 2 - World Super Bike - Emilia Romagna Round,"The Superbike World Championship roars into Portugal for another adrenaline-fueled showdown at the Autódromo Internacional do Algarve. Watch as the world’s top riders battle for supremacy on high-speed straights and technical corners, pushing their machines to the limit. Expect fierce rivalries, last-lap duels, and heart-stopping action in this thrilling Race 2 clash.",qa-bein-sports-6
15 Jun,4:50PM,Football,France U19 W - Sweden U19 W,Euro U19 Women,qa-bein-sports-6
18 Jun,3:30PM,Basketball,Slovenia W - Lithuania W,Eurobasket Women,qa-bein-sports-6
18 Jun,7:00PM,Basketball,Serbia W - Italy W,Eurobasket Women,qa-bein-sports-6
19 Jun,5:30PM,Basketball,France W - Greece W,Eurobasket Women,qa-bein-sports-6
15 Jun,12:00PM,Tennis,Alexander Zverev - Taylor Harry Fritz,ATP Stuttgart,qa-bein-sports-7
16 Jun,11:00AM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
16 Jun,1:00PM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
16 Jun,3:00PM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
16 Jun,5:00PM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
17 Jun,11:00AM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
17 Jun,1:00PM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
17 Jun,3:00PM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
17 Jun,5:00PM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
18 Jun,11:00AM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
18 Jun,1:00PM,Tennis,ATP 500  HSBC Championships  The Queen's Club 2025,"The HSBC Championships at The Queen’s Club is a historic grass-court tournament in London that has hosted previous champions such as Jimmy Connors, John McEnroe, Pete Sampras, Rafael Nadal, Andy Murray, Carlos Alcaraz and Tommy Paul.",qa-bein-sports-7
