date,time,sport,teams,comp,channel
18 Jun,12:45AM,Football,Monterrey - Inter,FIFA Club World Cup 2025,dazn-1-fr
18 Jun,6:10PM,Football,Real Madrid - Al-Hilal,FIFA Club World Cup 2025,dazn-1-fr
18 Jun,9:45PM,Football,Pachuca - Salzburg,FIFA Club World Cup 2025,dazn-1-fr
19 Jun,12:45AM,Football,Al Ain - Juventus,FIFA Club World Cup 2025,dazn-1-fr
19 Jun,6:10PM,Football,Inter Miami CF - FC Porto,FIFA Club World Cup 2025,dazn-1-fr
19 Jun,9:45PM,Football,Seattle Sounders - Atletico Madrid,FIFA Club World Cup 2025,dazn-1-fr
20 Jun,12:10AM,Football,Paris Saint Germain - Botafogo RJ,FIFA Club World Cup 2025,dazn-1-fr
20 Jun,6:10PM,Football,Flamengo RJ - Chelsea,FIFA Club World Cup 2025,dazn-1-fr
20 Jun,9:45PM,Football,Los Angeles FC - Esperance Tunis,FIFA Club World Cup 2025,dazn-1-fr
15 Jun,3:45PM,Football,Bayern Munich - Auckland City,FIFA Club World Cup 2025,dazn-2-fr
17 Jun,3:45PM,Football,Fluminense - Dortmund,FIFA Club World Cup 2025,dazn-2-fr
18 Jun,3:45PM,Football,Manchester City - Wydad,FIFA Club World Cup 2025,dazn-2-fr
19 Jun,3:45PM,Football,Palmeiras - Al Ahly,FIFA Club World Cup 2025,dazn-2-fr
20 Jun,3:45PM,Football,Benfica - Auckland City,FIFA Club World Cup 2025,dazn-2-fr
21 Jun,3:45PM,Football,Mamelodi Sundowns - Dortmund,FIFA Club World Cup 2025,dazn-2-fr
22 Jun,3:45PM,Football,Juventus - Wydad,FIFA Club World Cup 2025,dazn-2-fr
17 Jun,6:19PM,Basketball,Paris - Monaco,LNB,dazn-3-fr
20 Jun,6:19PM,Basketball,Monaco - Paris,LNB,dazn-3-fr
13 Jun,11:00AM,Sailing / Boating,Dubrovnik - Qualifying Time Trials,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-hr
13 Jun,2:15PM,Sailing / Boating,Dubrovnik - Qualification Elimination Race,Watch all the latest motorsport action from the Dubrovnik.,dazn-hr
13 Jun,5:00PM,Motorsport,Rally Poland: Stage 1,Watch the latest European Rally Championship action from Poland,dazn-hr
13 Jun,6:00PM,Boxing,Andrew Tabiti - Jacob Dickson,Bantamweight,dazn-hr
14 Jun,12:00AM,Boxing,LeAnna Cruz - Regina Chavez,Super lightweight,dazn-hr
14 Jun,1:00AM,Boxing,Atlanta Attack vs. Nashville Smash,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-hr
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-hr
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-hr
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-hr
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-hr
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-hr
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-hr
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-hr
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-hr
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-hr
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-hr
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-hr
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-hr
14 Jun,10:00PM,Boxing,Parker Porter - Dillon Cleckler,Light heavyweight,dazn-hr
14 Jun,10:30PM,Boxing,Hitchins vs. Kambosos Jr.: Prelims,"A fantastic preliminary card begins inside the iconic Madison Square Garden, ahead of an explosive IBF super lightweight showdown between Richardson Hitchins and George Kambosos Jr.",dazn-hr
13 Jun,11:00AM,Sailing / Boating,Dubrovnik - Qualifying Time Trials,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-cz
13 Jun,2:15PM,Sailing / Boating,Dubrovnik - Qualification Elimination Race,Watch all the latest motorsport action from the Dubrovnik.,dazn-cz
13 Jun,5:00PM,Motorsport,Rally Poland: Stage 1,Watch the latest European Rally Championship action from Poland,dazn-cz
13 Jun,6:00PM,Boxing,Andrew Tabiti - Jacob Dickson,Bantamweight,dazn-cz
14 Jun,12:00AM,Boxing,LeAnna Cruz - Regina Chavez,Super lightweight,dazn-cz
14 Jun,1:00AM,Boxing,Atlanta Attack vs. Nashville Smash,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-cz
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-cz
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-cz
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-cz
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-cz
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-cz
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-cz
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-cz
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-cz
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-cz
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-cz
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-cz
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-cz
14 Jun,10:30PM,Boxing,Hitchins vs. Kambosos Jr.: Prelims,"A fantastic preliminary card begins inside the iconic Madison Square Garden, ahead of an explosive IBF super lightweight showdown between Richardson Hitchins and George Kambosos Jr.",dazn-cz
14 Jun,11:00PM,Boxing,Molina vs. Jimenez,"Miura Boxing brings you fighting action from Mexico, as Fernando Ferros Molina (11-0-1) squares off with Gabriel Nitchs Jimenez (11-1) in an exciting ten-round lightweight main event.",dazn-cz
13 Jun,11:00AM,Sailing / Boating,Dubrovnik - Qualifying Time Trials,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-gr
13 Jun,2:15PM,Sailing / Boating,Dubrovnik - Qualification Elimination Race,Watch all the latest motorsport action from the Dubrovnik.,dazn-gr
13 Jun,5:00PM,Motorsport,Rally Poland: Stage 1,Watch the latest European Rally Championship action from Poland,dazn-gr
13 Jun,6:00PM,Boxing,Andrew Tabiti - Jacob Dickson,Bantamweight,dazn-gr
14 Jun,12:00AM,Boxing,LeAnna Cruz - Regina Chavez,Super lightweight,dazn-gr
14 Jun,1:00AM,Boxing,Atlanta Attack vs. Nashville Smash,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-gr
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-gr
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-gr
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-gr
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-gr
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-gr
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-gr
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-gr
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-gr
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-gr
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-gr
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-gr
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-gr
14 Jun,10:00PM,Boxing,Parker Porter - Dillon Cleckler,Light heavyweight,dazn-gr
14 Jun,10:30PM,Boxing,Hitchins vs. Kambosos Jr.: Prelims,"A fantastic preliminary card begins inside the iconic Madison Square Garden, ahead of an explosive IBF super lightweight showdown between Richardson Hitchins and George Kambosos Jr.",dazn-gr
13 Jun,9:00AM,Tennis,Nuno Borges - Ugo Humbert,ATP Hertogenbosch,dazn-nz
13 Jun,10:00AM,Tennis,Ilkley Open: Day 5,Ilkley Open: Day 5,dazn-nz
13 Jun,11:00AM,Sailing / Boating,Dubrovnik - Qualifying Time Trials,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-nz
13 Jun,11:00AM,Tennis,London Open - Day 5,DAZN brings you all the WTA action as the matches continue live from the London Open.,dazn-nz
13 Jun,2:15PM,Sailing / Boating,Dubrovnik - Qualification Elimination Race,Watch all the latest motorsport action from the Dubrovnik.,dazn-nz
13 Jun,3:30PM,Tennis,Ilkley Open: Day 5 Session 2,Ilkley Open: Day 5 Session 2,dazn-nz
13 Jun,5:00PM,Motorsport,Rally Poland: Stage 1,Watch the latest European Rally Championship action from Poland,dazn-nz
13 Jun,6:00PM,Boxing,Andrew Tabiti - Jacob Dickson,Bantamweight,dazn-nz
14 Jun,12:00AM,Boxing,LeAnna Cruz - Regina Chavez,Super lightweight,dazn-nz
14 Jun,1:00AM,Boxing,Atlanta Attack vs. Nashville Smash,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-nz
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-nz
14 Jun,9:00AM,Tennis,Libema Open - Day 6,DAZN brings you all the WTA action as the matches continue live from the Libema Open.,dazn-nz
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-nz
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-nz
14 Jun,12:30PM,Tennis,London Open - Day 6,DAZN brings you all the WTA action as the matches continue live from the London Open.,dazn-nz
14 Jun,12:30PM,Tennis,Ilkley Open: Day 6,Ilkley Open: Day 6,dazn-nz
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-nz
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-nz
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-nz
14 Jun,2:00PM,Sailing / Boating,Dubrovnik - Place Race & Finals,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-nz
13 Jun,9:00AM,Tennis,Nuno Borges - Ugo Humbert,ATP Hertogenbosch,dazn-rs
13 Jun,9:00AM,Tennis,Justin Engel - Felix Auger-Aliassime,ATP Stuttgart,dazn-rs
13 Jun,11:00AM,Sailing / Boating,Dubrovnik - Qualifying Time Trials,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-rs
13 Jun,12:30PM,Tennis,Day 5 - Quarter-finals | Court B,Watch the second court of the Libéma Opens quarter-finals.,dazn-rs
13 Jun,2:15PM,Sailing / Boating,Dubrovnik - Qualification Elimination Race,Watch all the latest motorsport action from the Dubrovnik.,dazn-rs
13 Jun,5:00PM,Motorsport,Rally Poland: Stage 1,Watch the latest European Rally Championship action from Poland,dazn-rs
13 Jun,6:00PM,Boxing,Andrew Tabiti - Jacob Dickson,Bantamweight,dazn-rs
14 Jun,12:00AM,Boxing,LeAnna Cruz - Regina Chavez,Super lightweight,dazn-rs
14 Jun,1:00AM,Boxing,Atlanta Attack vs. Nashville Smash,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-rs
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-rs
14 Jun,10:00AM,Tennis,Day 6 - Semi-finals,Watch the semi-finals of the Boss Open.,dazn-rs
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-rs
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-rs
14 Jun,12:30PM,Tennis,Day 6 - Semi-finals,‘s-Hertogenbosch Open - Day 6,dazn-rs
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-rs
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-rs
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-rs
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-rs
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-rs
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-rs
13 Jun,11:00AM,Sailing / Boating,Dubrovnik - Qualifying Time Trials,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-si
13 Jun,2:15PM,Sailing / Boating,Dubrovnik - Qualification Elimination Race,Watch all the latest motorsport action from the Dubrovnik.,dazn-si
13 Jun,5:00PM,Motorsport,Rally Poland: Stage 1,Watch the latest European Rally Championship action from Poland,dazn-si
13 Jun,6:00PM,Boxing,Andrew Tabiti - Jacob Dickson,Bantamweight,dazn-si
14 Jun,12:00AM,Boxing,LeAnna Cruz - Regina Chavez,Super lightweight,dazn-si
14 Jun,1:00AM,Boxing,Atlanta Attack vs. Nashville Smash,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-si
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-si
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-si
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-si
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-si
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-si
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-si
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-si
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-si
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-si
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-si
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-si
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-si
14 Jun,10:00PM,Boxing,Parker Porter - Dillon Cleckler,Light heavyweight,dazn-si
14 Jun,10:30PM,Boxing,Hitchins vs. Kambosos Jr.: Prelims,"A fantastic preliminary card begins inside the iconic Madison Square Garden, ahead of an explosive IBF super lightweight showdown between Richardson Hitchins and George Kambosos Jr.",dazn-si
13 Jun,11:00AM,Sailing / Boating,Dubrovnik - Qualifying Time Trials,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-tr
13 Jun,2:15PM,Sailing / Boating,Dubrovnik - Qualification Elimination Race,Watch all the latest motorsport action from the Dubrovnik.,dazn-tr
13 Jun,5:00PM,Motorsport,Rally Poland: Stage 1,Watch the latest European Rally Championship action from Poland,dazn-tr
13 Jun,6:00PM,Boxing,Andrew Tabiti - Jacob Dickson,Bantamweight,dazn-tr
14 Jun,12:00AM,Boxing,LeAnna Cruz - Regina Chavez,Super lightweight,dazn-tr
14 Jun,1:00AM,Boxing,Atlanta Attack vs. Nashville Smash,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-tr
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-tr
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-tr
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-tr
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-tr
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-tr
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-tr
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-tr
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-tr
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-tr
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-tr
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-tr
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-tr
14 Jun,10:30PM,Boxing,Hitchins vs. Kambosos Jr.: Prelims,"A fantastic preliminary card begins inside the iconic Madison Square Garden, ahead of an explosive IBF super lightweight showdown between Richardson Hitchins and George Kambosos Jr.",dazn-tr
14 Jun,11:00PM,Boxing,Molina vs. Jimenez,"Miura Boxing brings you fighting action from Mexico, as Fernando Ferros Molina (11-0-1) squares off with Gabriel Nitchs Jimenez (11-1) in an exciting ten-round lightweight main event.",dazn-tr
13 Jun,5:25PM,Motorsport,Formule 1 - Velká cena Pirelli Kanady 2025 (1. trénink),"Přímý přenos 1. tréninku na Velkou cenu Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
13 Jun,8:55PM,Motorsport,Formule 1 - Velká cena Pirelli Kanady 2025 (2. trénink),"Přímý přenos 2. tréninku na Velkou cenu Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
13 Jun,10:25PM,Motorsport,F1 Academy - Velká cena Kanady 2025 (kvalifikace),"Přímý přenos kvalifikace ženského formulového šampionátu pod patronátem F1 v Montréalu, Živě",nova-sport-5
14 Jun,9:30AM,Motorsport,F1 Academy - Velká cena Kanady 2025 (kvalifikace),"Přímý přenos kvalifikace ženského formulového šampionátu pod patronátem F1 v Montréalu, Záznam",nova-sport-5
14 Jun,1:10PM,Motorsport,F1 Academy - Velká cena Kanady 2025 (1. závod),"Přímý přenos závodu ženského formulového šampionátu pod patronátem F1 v Montréalu, Živě",nova-sport-5
14 Jun,4:25PM,Motorsport,Formule 1 - Velká cena Pirelli Kanady 2025 (3. trénink),"Přímý přenos 3. tréninku na Velkou cenu Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
14 Jun,6:50PM,Motorsport,F1 Academy - Velká cena Kanady 2025 (2. závod),"Přímý přenos závodu ženského formulového šampionátu pod patronátem F1 v Montréalu, Živě",nova-sport-5
14 Jun,7:55PM,Motorsport,Formule 1 - Velká cena Pirelli Kanady 2025 (kvalifikace),"Přímý přenos kvalifikace na Velkou cenu Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
14 Jun,8:55PM,Motorsport,Formule 1 - Velká cena Pirelli Kanady 2025 (2. trénink),"Přímý přenos 2. tréninku na Velkou cenu Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
15 Jun,2:50PM,Motorsport,F1 Academy - Velká cena Kanady 2025 (3. závod),"Přímý přenos závodu ženského formulového šampionátu pod patronátem F1 v Montréalu, Živě",nova-sport-5
15 Jun,5:50PM,Motorsport,Formule 1 - Velká cena  Pirelli Kanady 2025,"Přímý přenos závodu Velké ceny Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
20 Jun,9:05PM,Motorsport,NASCAR Craftsman Truck Series - MillerTech Battery 200,"Přímý přenos závodu NASCAR Craftsman Truck Series (Pennsylvanie, USA), Živě",nova-sport-5
21 Jun,9:05PM,Motorsport,NASCAR Craftsman Truck Series - MillerTech Battery 200,"Přímý přenos závodu NASCAR Craftsman Truck Series (Pennsylvanie, USA), Živě",nova-sport-5
13 Jun,8:30AM,Motorsport,WorldSBK - Pirelli Emilia-Romagna Round (1. volný trénink),"Přímý přenos tréninku na MS superbiků (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
13 Jun,11:50AM,Motorsport,WorldSSP - Pirelli Emilia-Romagna Round (Superpole),"Přímý přenos kvalifikace na MS supersportů (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
13 Jun,12:55PM,Motorsport,WorldSBK - Pirelli Emilia-Romagna Round (2. volný trénink),"Přímý přenos tréninku na MS superbiků (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
13 Jun,1:55PM,Motorsport,WorldSSP 300 - Pirelli Emilia-Romagna Round (Superpole),"Přímý přenos kvalifikace na MS supersportů 300 (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
14 Jun,6:55AM,Motorsport,WorldSBK - Pirelli Emilia-Romagna Round (3. volný trénink),"Přímý přenos tréninku na MS superbiků (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
14 Jun,8:50AM,Motorsport,WorldSBK - Pirelli Emilia-Romagna Round (Superpole),"Záznam kvalifikace na MS supersportů 300 (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
14 Jun,10:20AM,Motorsport,WorldSSP - Pirelli Emilia-Romagna Round (1. závod),"Přímý přenos závodu MS supersportů (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
