date,time,sport,teams,comp,channel
18 Jun,9:45PM,Football,Pachuca - Salzburg,FIFA Club World Cup 2025,dazn-1-fr
19 Jun,12:45AM,Football,Al Ain - Juventus,FIFA Club World Cup 2025,dazn-1-fr
19 Jun,6:10PM,Football,Inter Miami CF - FC Porto,FIFA Club World Cup 2025,dazn-1-fr
19 Jun,9:45PM,Football,Seattle Sounders - Atletico Madrid,FIFA Club World Cup 2025,dazn-1-fr
20 Jun,12:10AM,Football,Paris Saint Germain - Botafogo RJ,FIFA Club World Cup 2025,dazn-1-fr
20 Jun,6:10PM,Football,Flamengo RJ - Chelsea,FIFA Club World Cup 2025,dazn-1-fr
20 Jun,9:45PM,Football,Los Angeles FC - Esperance Tunis,FIFA Club World Cup 2025,dazn-1-fr
21 Jun,12:45AM,Football,Bayern Munich - Boca Juniors,FIFA Club World Cup 2025,dazn-1-fr
15 Jun,3:45PM,Football,Bayern Munich - Auckland City,FIFA Club World Cup 2025,dazn-2-fr
17 Jun,3:45PM,Football,Fluminense - Dortmund,FIFA Club World Cup 2025,dazn-2-fr
18 Jun,3:45PM,Football,Manchester City - Wydad,FIFA Club World Cup 2025,dazn-2-fr
19 Jun,3:45PM,Football,Palmeiras - Al Ahly,FIFA Club World Cup 2025,dazn-2-fr
20 Jun,3:45PM,Football,Benfica - Auckland City,FIFA Club World Cup 2025,dazn-2-fr
21 Jun,3:45PM,Football,Mamelodi Sundowns - Dortmund,FIFA Club World Cup 2025,dazn-2-fr
22 Jun,3:45PM,Football,Juventus - Wydad,FIFA Club World Cup 2025,dazn-2-fr
17 Jun,6:19PM,Basketball,Paris - Monaco,LNB,dazn-3-fr
20 Jun,6:19PM,Basketball,Monaco - Paris,LNB,dazn-3-fr
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-hr
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-hr
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-hr
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-hr
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-hr
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-hr
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-hr
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-hr
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-hr
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-hr
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-hr
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-hr
14 Jun,10:00PM,Boxing,Parker Porter - Dillon Cleckler,Light heavyweight,dazn-hr
14 Jun,10:30PM,Boxing,Andy Cruz - Hironori Mishiro,Lightweight,dazn-hr
14 Jun,11:00PM,Boxing,Fernando Angel Molina - Gabriel Jimenez Gomez,Lightweight,dazn-hr
15 Jun,12:00AM,Football,Al Ahly - Inter Miami CF,FIFA Club World Cup 2025,dazn-hr
15 Jun,12:00AM,Am. Football,Michigan Panthers - DC Defenders,UFL,dazn-hr
15 Jun,12:30AM,Boxing,Richardson Hitchins - George Kambosos Jnr,Super lightweight,dazn-hr
15 Jun,1:00AM,Boxing,Philadelphia Smoke vs. Miami Assassins & NYC Attitude vs. Boston Butchers,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-hr
15 Jun,6:00AM,Motorsport,Rally Poland: Stage 9,Watch the latest European Rally Championship action from the Rally Poland,dazn-hr
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-cz
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-cz
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-cz
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-cz
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-cz
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-cz
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-cz
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-cz
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-cz
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-cz
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-cz
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-cz
14 Jun,10:30PM,Boxing,Andy Cruz - Hironori Mishiro,Lightweight,dazn-cz
14 Jun,11:00PM,Boxing,Fernando Angel Molina - Gabriel Jimenez Gomez,Lightweight,dazn-cz
15 Jun,12:00AM,Football,Al Ahly - Inter Miami CF,FIFA Club World Cup 2025,dazn-cz
15 Jun,12:30AM,Boxing,Richardson Hitchins - George Kambosos Jnr,Super lightweight,dazn-cz
15 Jun,1:00AM,Boxing,Philadelphia Smoke vs. Miami Assassins & NYC Attitude vs. Boston Butchers,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-cz
15 Jun,6:00AM,Motorsport,Rally Poland: Stage 9,Watch the latest European Rally Championship action from the Rally Poland,dazn-cz
15 Jun,8:35AM,Motorsport,Rally Poland: Stage 11,Watch the latest European Rally Championship action from the Rally Poland.,dazn-cz
15 Jun,10:40AM,Motorsport,Rally Poland: Stage 12,Watch the latest European Rally Championship action from the Rally Poland,dazn-cz
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-gr
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-gr
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-gr
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-gr
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-gr
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-gr
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-gr
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-gr
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-gr
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-gr
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-gr
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-gr
14 Jun,10:00PM,Boxing,Parker Porter - Dillon Cleckler,Light heavyweight,dazn-gr
14 Jun,10:30PM,Boxing,Andy Cruz - Hironori Mishiro,Lightweight,dazn-gr
14 Jun,11:00PM,Boxing,Fernando Angel Molina - Gabriel Jimenez Gomez,Lightweight,dazn-gr
15 Jun,12:00AM,Football,Al Ahly - Inter Miami CF,FIFA Club World Cup 2025,dazn-gr
15 Jun,12:00AM,Am. Football,Michigan Panthers - DC Defenders,UFL,dazn-gr
15 Jun,12:30AM,Boxing,Richardson Hitchins - George Kambosos Jnr,Super lightweight,dazn-gr
15 Jun,1:00AM,Boxing,Philadelphia Smoke vs. Miami Assassins & NYC Attitude vs. Boston Butchers,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-gr
15 Jun,6:00AM,Motorsport,Rally Poland: Stage 9,Watch the latest European Rally Championship action from the Rally Poland,dazn-gr
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-nz
14 Jun,9:00AM,Tennis,Elise Mertens - Ekaterina Alexandrova,WTA Hertogenbosch,dazn-nz
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-nz
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-nz
14 Jun,12:30PM,Tennis,Tatjana Maria - Madison Keys,WTA London,dazn-nz
14 Jun,12:30PM,Tennis,Ilkley Open: Day 6,Ilkley Open: Day 6,dazn-nz
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-nz
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-nz
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-nz
14 Jun,2:00PM,Sailing / Boating,Dubrovnik - Place Race & Finals,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-nz
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-nz
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-nz
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-nz
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-nz
14 Jun,4:15PM,Triathlon,Vancouver T100,​The PTO Tour arrives in Vancouver for the T100 pro triathlon race.,dazn-nz
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-nz
14 Jun,6:30PM,Basketball,Virtus Bologna - Brescia,Lega A,dazn-nz
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-nz
14 Jun,10:00PM,Boxing,Parker Porter - Dillon Cleckler,Light heavyweight,dazn-nz
14 Jun,10:30PM,Boxing,Andy Cruz - Hironori Mishiro,Lightweight,dazn-nz
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-rs
14 Jun,10:00AM,Tennis,Felix Auger-Aliassime - Taylor Harry Fritz,ATP Stuttgart,dazn-rs
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-rs
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-rs
14 Jun,12:30PM,Tennis,Gabriel Diallo - Ugo Humbert,ATP Hertogenbosch,dazn-rs
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-rs
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-rs
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-rs
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-rs
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-rs
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-rs
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-rs
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-rs
14 Jun,6:30PM,Basketball,Virtus Bologna - Brescia,Lega A,dazn-rs
14 Jun,10:00PM,Boxing,Parker Porter - Dillon Cleckler,Light heavyweight,dazn-rs
14 Jun,10:30PM,Boxing,Andy Cruz - Hironori Mishiro,Lightweight,dazn-rs
14 Jun,11:00PM,Boxing,Fernando Angel Molina - Gabriel Jimenez Gomez,Lightweight,dazn-rs
15 Jun,12:00AM,Football,Al Ahly - Inter Miami CF,FIFA Club World Cup 2025,dazn-rs
15 Jun,12:00AM,Am. Football,Michigan Panthers - DC Defenders,UFL,dazn-rs
15 Jun,12:30AM,Boxing,Richardson Hitchins - George Kambosos Jnr,Super lightweight,dazn-rs
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-si
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-si
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-si
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-si
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-si
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-si
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-si
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-si
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-si
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-si
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-si
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-si
14 Jun,10:00PM,Boxing,Parker Porter - Dillon Cleckler,Light heavyweight,dazn-si
14 Jun,10:30PM,Boxing,Andy Cruz - Hironori Mishiro,Lightweight,dazn-si
14 Jun,11:00PM,Boxing,Fernando Angel Molina - Gabriel Jimenez Gomez,Lightweight,dazn-si
15 Jun,12:00AM,Football,Al Ahly - Inter Miami CF,FIFA Club World Cup 2025,dazn-si
15 Jun,12:00AM,Am. Football,Michigan Panthers - DC Defenders,UFL,dazn-si
15 Jun,12:30AM,Boxing,Richardson Hitchins - George Kambosos Jnr,Super lightweight,dazn-si
15 Jun,1:00AM,Boxing,Philadelphia Smoke vs. Miami Assassins & NYC Attitude vs. Boston Butchers,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-si
15 Jun,6:00AM,Motorsport,Rally Poland: Stage 9,Watch the latest European Rally Championship action from the Rally Poland,dazn-si
14 Jun,8:00AM,Motorsport,Rally Poland: Stage 2,Watch the latest European Rally Championship action from Poland,dazn-tr
14 Jun,10:30AM,Sailing / Boating,Dubrovnik - Group Stages,​Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-tr
14 Jun,12:00PM,MMA,RWS: Mongkupetch vs. Duangdawnoi,The Rajadamnern Stadium plays host to the latest round of RWS action.,dazn-tr
14 Jun,12:40PM,Sailing / Boating,Dubrovnik : Race Off,Watch all the latest thrilling E1 powerboating action from Dubrovnik.,dazn-tr
14 Jun,1:00PM,MMA,GLORY 100 - SuperFights,"GLORY 100 SuperFights features seven spectacular bouts, all available to watch for free ahead of the PPV event in Rotterdam.",dazn-tr
14 Jun,1:30PM,Motorsport,Rally Poland: Stage 5,Watch the latest European Rally Championship action from Poland,dazn-tr
14 Jun,3:00PM,Am. Football,Cologne Centurions - Panthers Wroclaw,European League of Football,dazn-tr
14 Jun,3:37PM,Equestrian,Saint-Tropez - Longines Global Champions Tour Grand Prix,Watch the best riders and horses on the planet go head-to-head in the Global Champions Tour.,dazn-tr
14 Jun,4:00PM,MMA,GLORY 100,"Get ready for GLORY 100 in Rotterdam, headlined by Rico Verhoeven defending his world title against Artem Vakhitov.",dazn-tr
14 Jun,4:00PM,Am. Football,Rhein Fire - Hamburg Sea Devils,European League of Football,dazn-tr
14 Jun,5:00PM,Motorsport,Rally Poland: Stage 8,Watch the latest European Rally Championship action from Poland.,dazn-tr
14 Jun,9:00PM,Triathlon,Cairns Airport IRONMAN Cairns,Dont miss out on the Cairns Airport as part of the IRONMAN Pro Series.,dazn-tr
14 Jun,10:30PM,Boxing,Andy Cruz - Hironori Mishiro,Lightweight,dazn-tr
14 Jun,11:00PM,Boxing,Fernando Angel Molina - Gabriel Jimenez Gomez,Lightweight,dazn-tr
15 Jun,12:00AM,Football,Al Ahly - Inter Miami CF,FIFA Club World Cup 2025,dazn-tr
15 Jun,12:00AM,Am. Football,Michigan Panthers - DC Defenders,UFL,dazn-tr
15 Jun,12:30AM,Boxing,Richardson Hitchins - George Kambosos Jnr,Super lightweight,dazn-tr
15 Jun,1:00AM,Boxing,Philadelphia Smoke vs. Miami Assassins & NYC Attitude vs. Boston Butchers,"Watch the biggest names and the best fights on DAZN, the global home of boxing.",dazn-tr
15 Jun,6:00AM,Motorsport,Rally Poland: Stage 9,Watch the latest European Rally Championship action from the Rally Poland,dazn-tr
15 Jun,8:35AM,Motorsport,Rally Poland: Stage 11,Watch the latest European Rally Championship action from the Rally Poland.,dazn-tr
14 Jun,9:30AM,Motorsport,F1 Academy - Velká cena Kanady 2025 (kvalifikace),"Přímý přenos kvalifikace ženského formulového šampionátu pod patronátem F1 v Montréalu, Záznam",nova-sport-5
14 Jun,1:10PM,Motorsport,F1 Academy - Velká cena Kanady 2025 (1. závod),"Přímý přenos závodu ženského formulového šampionátu pod patronátem F1 v Montréalu, Živě",nova-sport-5
14 Jun,4:25PM,Motorsport,Formule 1 - Velká cena Pirelli Kanady 2025 (3. trénink),"Přímý přenos 3. tréninku na Velkou cenu Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
14 Jun,6:50PM,Motorsport,F1 Academy - Velká cena Kanady 2025 (2. závod),"Přímý přenos závodu ženského formulového šampionátu pod patronátem F1 v Montréalu, Živě",nova-sport-5
14 Jun,7:55PM,Motorsport,Formule 1 - Velká cena Pirelli Kanady 2025 (kvalifikace),"Přímý přenos kvalifikace na Velkou cenu Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
14 Jun,8:55PM,Motorsport,Formule 1 - Velká cena Pirelli Kanady 2025 (2. trénink),"Přímý přenos 2. tréninku na Velkou cenu Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
15 Jun,2:50PM,Motorsport,F1 Academy - Velká cena Kanady 2025 (3. závod),"Přímý přenos závodu ženského formulového šampionátu pod patronátem F1 v Montréalu, Živě",nova-sport-5
15 Jun,5:50PM,Motorsport,Formule 1 - Velká cena  Pirelli Kanady 2025,"Přímý přenos závodu Velké ceny Formule 1 (Circuit Gilles-Villeneuve, Kanada), Živě",nova-sport-5
20 Jun,9:05PM,Motorsport,NASCAR Craftsman Truck Series - MillerTech Battery 200,"Přímý přenos závodu NASCAR Craftsman Truck Series (Pennsylvanie, USA), Živě",nova-sport-5
21 Jun,9:05PM,Motorsport,NASCAR Craftsman Truck Series - MillerTech Battery 200,"Přímý přenos závodu NASCAR Craftsman Truck Series (Pennsylvanie, USA), Živě",nova-sport-5
14 Jun,8:50AM,Motorsport,WorldSBK - Pirelli Emilia-Romagna Round (Superpole),"Záznam kvalifikace na MS supersportů 300 (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
14 Jun,10:20AM,Motorsport,WorldSSP - Pirelli Emilia-Romagna Round (1. závod),"Přímý přenos závodu MS supersportů (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
14 Jun,11:35AM,Motorsport,WorldSBK - Pirelli Emilia-Romagna Round (1. závod),"Přímý přenos závodu MS superbiků (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
14 Jun,1:00PM,Motorsport,WorldSSP 300 - Pirelli Emilia-Romagna Round (1. závod),"Přímý přenos závodu MS supersportů 300 (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
15 Jun,2:00AM,MMA,Edmen Shahbazyan - Andre Petroski,UFC Fight Night,nova-sport-6
15 Jun,2:30AM,MMA,Alonzo Menifield - Oumar Sy,UFC Fight Night,nova-sport-6
15 Jun,3:00AM,MMA,Cody Garbrandt - Raoni Barcelos,UFC Fight Night,nova-sport-6
15 Jun,3:30AM,MMA,Mansur Abdul-Malik - Cody Brundage,UFC Fight Night,nova-sport-6
15 Jun,4:00AM,MMA,Michael Chiesa - Court McGee,UFC Fight Night,nova-sport-6
15 Jun,4:30AM,MMA,Rose Namajunas - Miranda Maverick,UFC Fight Night,nova-sport-6
15 Jun,5:00AM,MMA,Kamaru Usman - Joaquin Buckley,UFC Fight Night,nova-sport-6
15 Jun,8:45AM,Motorsport,WorldSBK - Pirelli Emilia-Romagna Round (Superpole Race),"Přímý přenos sprintového závodu MS superbiků (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
15 Jun,10:20AM,Motorsport,WorldSSP - Pirelli Emilia-Romagna Round (2. závod),"Přímý přenos závodu MS supersportů (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
15 Jun,11:35AM,Motorsport,WorldSBK - Pirelli Emilia-Romagna Round (2. závod),"Přímý přenos závodu MS superbiků (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
15 Jun,1:00PM,Motorsport,WorldSSP 300 - Pirelli Emilia-Romagna Round (2. závod),"Přímý přenos závodu MS supersportů 300 (Misano World Circuit Marco Simoncelli, Itálie), Živě",nova-sport-6
15 Jun,7:05PM,Motorsport,NASCAR Cup Series Race at Mexico City,"Přímý přenos závodu NASCAR Cup Series (Mexico City, Mexiko), Živě",nova-sport-6
16 Jun,1:50AM,Football,Botafogo RJ - Seattle Sounders,FIFA Club World Cup 2025,nova-sport-6
17 Jun,6:50PM,Football,River Plate - Urawa,FIFA Club World Cup 2025,nova-sport-6
19 Jun,6:50PM,Football,Inter Miami CF - FC Porto,FIFA Club World Cup 2025,nova-sport-6
20 Jun,7:00AM,Motorsport,Brembo Grand Prix of Italy (1. volný trénink Moto3),"Přímý přenos 1. volného tréninku třídy Moto3 na 9. závod MS silničních motocyklů (Autodromo Internazionale del Mugello, Itálie), Živě",nova-sport-6
14 Jun,12:30PM,Horse Racing,"Live racing from York, Chester and Sandown Park",Race Meeting,itvx
14 Jun,2:00PM,Rugby Union,Bath - Leicester Tigers,Aviva Premiership Rugby,itvx
17 Jun,12:30PM,Horse Racing,Live racing from Royal Ascot,Race Meeting,itvx
17 Jun,4:50PM,Horse Racing,Live racing from Royal Ascot,Race Meeting,itvx
18 Jun,12:30PM,Horse Racing,Live racing from Royal Ascot,Race Meeting,itvx
