STG,TSDB
Ethiopia,Ethiopia
Gabon,Gabon
Gambia,Gambia
Ghana,Ghana
Guinea,Guinea
Guinea Bissau,Guinea-Bissau
Ivory Coast,Ivory Coast
Kenya,Kenya
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Madagascar,Madagascar
Malawi,Malawi
Mali,Mali
Mauritania,Mauritania
Mauritius,Mauritius
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Niger,Niger
Nigeria,Nigeria
Rwanda,Rwanda
Sao Tome and Principe,São Tomé and Príncipe
Senegal,Senegal
Sierra Leone,Sierra Leone
South Africa,South Africa
South Sudan,South Sudan
Sudan,Sudan
Tanzania,Tanzania
Togo,Togo
Tunisia,Tunisia
Uganda,Uganda
Zambia,Zambia
Zimbabwe,Zimbabwe
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Aruba,Aruba
Bahamas,Bahamas
Barbados,Barbados
Belize,Belize
Bermuda,Bermuda
Bonaire,Bonaire
British Virgin Islands,British Virgin Islands
Canada,Canada
Cayman Islands,Cayman Islands
Costa Rica,Costa Rica
Cuba,Cuba
Curacao,Curaçao
Dominica,Dominica
Dominican Republic,Dominican Republic
El Salvador,El Salvador
French Guiana,French Guiana
Grenada,Grenada
Guadeloupe,Guadeloupe
Guatemala,Guatemala
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Jamaica,Jamaica
Martinique,Martinique
Mexico,Mexico
Montserrat,Montserrat
Nicaragua,Nicaragua
Panama,Panama
Puerto Rico,Puerto Rico
Saint Kitts and Nevis,St Kitts and Nevis
Saint Lucia,St Lucia
Sint Maarten,St Maarten
Saint Martin,St Martin
Saint Vincent and the Grenadines,St Vincent and the Grenadines
Suriname,Suriname
Trinidad & Tobago,Trinidad and Tobago
Turks and Caicos Islands,Turks and Caicos Islands
United States Virgin Islands,US Virgin Islands
USA,USA
Argentina,Argentina
Bolivia,Bolivia
Brazil,Brazil
Chile,Chile
Colombia,Colombia
Ecuador,Ecuador
Paraguay,Paraguay
Peru,Peru
Uruguay,Uruguay
Venezuela,Venezuela
Qatar,Qatar
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brentford,Brentford
Brighton & Hove Albion,Brighton
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Leeds United,Leeds
Leicester,Leicester
Liverpool,Liverpool
Manchester City,Manchester City
Manchester United,Manchester United
Newcastle Utd,Newcastle
Nottingham,Nottingham Forest
Southampton,Southampton
Tottenham,Tottenham
West Ham United,West Ham
Wolverhampton Wanderers,Wolves
Birmingham,Birmingham
Blackburn,Blackburn
Blackpool,Blackpool
Bristol City,Bristol City
Burnley,Burnley
Cardiff,Cardiff
Coventry,Coventry
Huddersfield,Huddersfield Town
Hull City,Hull
Luton,Luton
Middlesbrough,Middlesbrough
Millwall,Millwall
Norwich City,Norwich
Preston,Preston
QPR,QPR
Reading,Reading
Rotherham,Rotherham
Sheffield United,Sheffield United
Stoke City,Stoke
Sunderland,Sunderland
Swansea,Swansea
Watford,Watford
West Brom,West Brom
Wigan Athletic,Wigan
Ipswich,Ipswich
Plymouth,Plymouth
Sheffield Wednesday,Sheffield Weds
Barnsley,Barnsley
Bolton,Bolton
Bristol Rovers,Bristol Rovers
Burton,Burton
Cambridge Utd,Cambridge United
Carlisle,Carlisle
Charlton,Charlton
Cheltenham,Cheltenham
Derby County,Derby
Exeter,Exeter
Fleetwood Town,Fleetwood Town
Leyton Orient,Leyton Orient
Lincoln City,Lincoln
Northampton,Northampton
Oxford Utd,Oxford Utd
Peterborough,Peterboro
Port Vale,Port Vale
Portsmouth,Portsmouth
Shrewsbury,Shrewsbury
Stevenage,Stevenage
Wycombe,Wycombe
Accrington,Accrington
AFC Wimbledon,AFC Wimbledon
Barrow,Barrow
Bradford,Bradford
Colchester,Colchester
Crawley Town,Crawley
Crewe,Crewe
Doncaster,Doncaster
Forest Green,Forest Green Rovers
Gillingham,Gillingham
Grimsby Town,Grimsby
Harrogate,Harrogate Town FC
Mansfield,Mansfield
Milton Keynes Dons,Milton Keynes Dons
Morecambe,Morecambe
Newport,Newport
Notts County,Notts County
Salford,Salford City
Stockport,Stockport
Sutton,Sutton United
Swindon,Swindon
Tranmere,Tranmere
Walsall,Walsall
Wrexham,Wrexham
Augsburg,Augsburg
Bayer Leverkusen,Leverkusen
Bayern Munich,Bayern Munich
Bochum,Bochum
Borussia Monchengladbach,Mönchengladbach
Darmstadt,Darmstadt
Dortmund,Dortmund
Eintracht Frankfurt,Ein Frankfurt
FC Koln,FC Koln
Freiburg,Freiburg
Heidenheim,FC Heidenheim
Hoffenheim,Hoffenheim
Mainz,Mainz
RB Leipzig,RasenBallsport Leipzig
Union Berlin,Union Berlin
VfB Stuttgart,Stuttgart
Werder Bremen,Werder Bremen
Wolfsburg,Wolfsburg
Braunschweig,Braunschweig
Dusseldorf,Fortuna Düsseldorf
Elversberg,Elversberg
Greuther Furth,SPVGG Greuther Fürth
Hamburger SV,Hamburg
Hannover,Hannover
Hansa Rostock,Hansa Rostock
Hertha Berlin,Hertha
Holstein Kiel,Holstein Kiel
Kaiserslautern,Kaiserslautern
Karlsruher,Karlsruhe
Magdeburg,Magdeburg
Nurnberg,Nurnberg
Paderborn,Paderborn
Schalke,Schalke 04
St. Pauli,St Pauli
VfL Osnabruck,Osnabrueck
Wehen,Wehen Wiesbaden
Brest,Brest
Clermont,Clermont Foot
Le Havre,Le Havre
Lens,Lens
Lille,Lille
Lorient,Lorient
Lyon,Lyon
Marseille,Marseille
Metz,Metz
Monaco,Monaco
Montpellier,Montpellier
Nantes,Nantes
Nice,Nice
Paris Saint Germain,Paris SG
Rennes,Rennes
Reims,Stade de Reims
Strasbourg,Strasbourg
Toulouse,Toulouse
AC Ajaccio,Ajaccio
Amiens,Amiens
Annecy,Annecy
Angers,Angers
Auxerre,Auxerre
Bastia,Bastia
Bordeaux,Bordeaux
Caen,Caen
Concarneau,Concarneau
Dunkerque,USL Dunkerque
Grenoble,Grenoble
Guingamp,Guingamp
Laval,Laval
Paris FC,Paris FC
Pau,Pau FC
Quevilly Rouen,Quevilly
Rodez,Rodez AF
Sochaux,Sochaux
St Etienne,St Etienne
Troyes,Troyes
Valenciennes,Valenciennes
Alaves,Alaves
Almeria,Almeria
Athletic Bilbao,Ath Bilbao
Atletico Madrid,Ath Madrid
Barcelona,Barcelona
Cadiz CF,Cadiz
Celta Vigo,Celta Vigo
Getafe,Getafe
Girona,Girona
Granada CF,Granada
Las Palmas,Las Palmas
Mallorca,Mallorca
Osasuna,Osasuna
Rayo Vallecano,Vallecano
Real Betis,Betis
Real Madrid,Real Madrid
Real Sociedad,Sociedad
Sevilla,Sevilla
Valencia,Valencia
Villarreal,Villarreal
Albacete,Albacete
Burgos,Burgos
Cartagena,Cartagena FC
Eibar,Eibar
Andorra,FC Andorra
Huesca,Huesca
Leganes,Leganes
Levante,Levante
Mirandes,Mirandes
Real Oviedo,Real Oviedo
Santander,Santander
Sporting Gijón,Sp Gijon
Tenerife,Tenerife
Villarreal B,Villarreal B
Zaragoza,Zaragoza
Alcorcon,Alcorcon
Elche,Elche
Eldense,Eldense
Espanyol,Espanol
Ferrol,Racing Club de Ferrol
Amorebieta,SD Amorebieta
Valladolid,Valladolid
Granada CF,Granada CF
Lugo,Lugo
Malaga,Malaga
Ponferradina,Ponferradina
UD Ibiza-Eivissa,UD Ibiza
Atalanta,Atalanta
Bologna,Bologna
Cagliari,Cagliari
Empoli,Empoli
Fiorentina,Fiorentina
Frosinone,Frosinone
Genoa,Genoa
Inter,Inter
Juventus,Juventus
Lazio,Lazio
Lecce,Lecce
AC Milan,Milan
Monza,Monza
Napoli,Napoli
AS Roma,Roma
Salernitana,Salernitana
Sassuolo,Sassuolo
Torino,Torino
Udinese,Udinese
Verona,Verona
Ascoli,Ascoli
Bari,Bari
Catanzaro,Catanzaro
Cittadella,Cittadella
Como,Como
Cosenza,Cosenza
Cremonese,Cremonese
FeralpiSalo,Feralpisalò
Lecco,Lecco
Modena,Modena
Palermo,SSD Palermo
Parma,Parma Calcio 1913
Pisa,Pisa
Reggiana,Reggio Audace
Sampdoria,Sampdoria
Spezia,Spezia
Sudtirol,Sudtirol
Ternana,Ternana
Venezia,Venezia
AFC Hermannstadt,FC Hermannstadt
CFR Cluj,CFR Cluj-Napoca
CS U. Craiova,Universitatea Craiova
Dinamo Bucuresti,Dinamo Bucuresti
Farul Constanta,Farul Constanta
FC Botosani,FC Botoșani
FC Rapid Bucuresti,Rapid Bucuresti
FC Steaua Bucuresti,Steaua Bucuresti
FC U Craiova,FC U Craiova 1948
Otelul,Otelul Galati
Petrolul,Petrolul
Poli Iasi,Politehnica Iași
Sepsi,Sepsi OSK Sfântu Gheorghe
Universitatea Cluj,Universitatea Cluj
UTA Arad,Uta Arad
Voluntari,FC Voluntari
Brno,Zbrojovka Brno
Chrudim,Chrudim
Dukla Prague,Dukla Praha
Jihlava,Vysočina Jihlava
Kromeriz,Hanácká Slavia
Lisen,Líšeň
Mas Taborsko,Táborsko
Opava,SFC Opava
Pribram,Pribram
Prostejov,Prostějov
Sigma Olomouc B,Sigma Olomouc B
Sparta Prague B,Sparta Prague B
Varnsdorf,Varnsdorf
Vlasim,Vlašim
Vyskov,Vyškov
Zizkov,Viktoria Žižkov
Ostrava,Banik Ostrava
Bohemians 1905,Bohemians 1905
Ceske Budejovice,Dynamo České Budějovice
Hradec Kralove,Hradec Králové
Jablonec,Jablonec
Karvina,Karvina
Liberec,Liberec
Mlada Boleslav,Mlada Boleslav
FK Pardubice,Pardubice
Sigma Olomouc,Sigma Olomouc
Slavia Prague,Slavia Prague
Slovacko,Slovacko
Sparta Prague,Sparta Prague
Teplice,Teplice
Plzen,Viktoria Plzen
Zlin,Zlín
Arda,Arda Kardzhali
Beroe,Beroe
Botev Plovdiv,Botev Plovdiv
Botev Vratsa,Botev Vratsa
Cherno More,Cherno More
CSKA 1948 Sofia,CSKA 1948
CSKA Sofia,CSKA Sofia
Etar,Etar Veliko Tarnovo
Hebar,Hebar Pazardzhik
Levski,Levski Sofia
Levski Krumovgrad,Krumovgrad
Lok. Sofia,Lokomotiv Sofia
Lokomotiv Plovdiv,Lokomotiv Plovdiv
Ludogorets,Ludogorets Razgrad
Pirin Blagoevgrad,Pirin Blagoevgrad
Slavia Sofia,Slavia Sofia
Aalesund,Aalesund
Bodo/Glimt,Bodoe/Glimt
Brann,Brann
Ham-Kam,Hamarkameratene
Haugesund,FK Haugesund
Lillestrom,Lillestroem
Molde,Molde
Odd,Odd Ballklubb
Rosenborg,Rosenborg
Sandefjord,Sandefjord
Sarpsborg 08,Sarpsborg 08
Stabaek,Stabaek
Stromsgodset,Stroemsgodset
Tromso,Tromso
Valerenga,Vaalerenga
Viking,Viking
Aarhus,AGF Aarhus
Brondby,Brøndby
FC Copenhagen,FC Copenhagen
Hvidovre,Hvidovre IF
Lyngby,Lyngby
Midtjylland,FC Midtjylland
Nordsjaelland,FC Nordsjælland
Odense,Odense BK
Randers FC,Randers FC
Silkeborg,Silkeborg IF
Vejle,Vejle Boldklub
Viborg,Viborg
AIK,AIK
Brommapojkarna,Brommapojkarna
Degerfors,Degerfors
Djurgarden,Djurgaarden
Elfsborg,Elfsborg
Goteborg,IFK Gothenburg
Hacken,Hacken
Halmstad,Halmstad
Hammarby,Hammarby
Kalmar,Kalmar FF
Malmo FF,Malmo FF
Mjallby,Mjallby
Norrkoping,Norrkoping
Sirius,Sirius
Varbergs,Varbergs BoIS FC
Varnamo,IFK Varnamo
Banga,Banga Gargždai
Dainava Alytus,Dainava
Dziugas Telsiai,Džiugas Telšiai
FK Panevezys,FK Panevėžys
Hegelmann Litauen,Hegelmann Litauen
Kauno Zalgiris,Kauno Žalgiris
Siauliai FA,FA Šiauliai
Suduva,FK Suduva
Trakai,FK Riteriai
Zalgiris,VMFD Zalgiris
Cracovia,Cracovia Krakow
Gornik Zabrze,Gornik Zabrze
Jagiellonia,Jagiellonia Bialystok
Korona Kielce,Korona Kielce
Lech Poznan,Lech Poznan
Legia,Legia Warsaw
LKS Lodz,LKS Lodz
Piast Gliwice,Piast Gliwice
Pogon Szczecin,Pogon Szczecin
Puszcza,Puszcza Niepołomice
Radomiak Radom,Radomiak Radom
Rakow,Rakow Czestochowa
Ruch,Ruch Chorzow
Slask Wroclaw,Slask Wroclaw
Stal Mielec,Stal Mielec
Warta Poznan,Warta Poznań
Widzew Lodz,Widzew Lodz
Zaglebie,Zaglebie Lubin
Arka Gdynia,Arka Gdynia
Chrobry Glogow,Chrobry Głogów
GKS Katowice,GKS Katowice
Leczna,Gornik Leczna
Lechia Gdansk,Lechia Gdańsk
Legnica,Miedz Legnica
Lublin,Motor Lublin
Termalica B-B.,Nieciecza
Odra Opole,Odra Opole
Podbeskidzie,Podbeskidzie Bielsko-Biala
Polonia Warszawa,Polonia Warsaw
R. Rzeszow,Resovia Rzeszów
S. Rzeszow,Stal Rzeszów
Tychy,Tychy 71
Wisla,Wisla Krakow
Plock,Wisla Plock
Zaglebie Sosnowiec,Zaglebie Sosnowiec
Pruszkow,Znicz Pruszków
Breidablik,Breidablik
Fram,Fram Reykjavik
Fylkir,Fylkir
Hafnarfjordur,FH Hafnarfjordur
KA Akureyri,KA
Keflavik,Keflavík
Kopavogur,HK
KR Reykjavik,KR Reykjavik
Stjarnan,Stjarnan
Valur,Valur
Vestmannaeyjar,Vestmannaeyjar
Vikingur Reykjavik,Víkingur Reykjavik
Amadora,Estrela Amadora
Arouca,Arouca
Benfica,Benfica
Boavista,Boavista
Braga,Braga
Casa Pia,Casa Pia
Chaves,Chaves
Estoril,Estoril-Praia
Famalicao,Famalicao
FC Porto,FC Porto
Gil Vicente,Gil Vicente
Guimaraes,Guimaraes
Moreirense,Moreirense
Portimonense,Portimonense
Rio Ave,Rio Ave
SC Farense,SC Farense
Sporting,Sporting CP
Vizela,Vizela
Anderlecht,Anderlecht
Antwerp,Antwerp
Cercle Brugge KSV,Cercle Brugge
Charleroi,Charleroi
Club Brugge KV,Club Brugge
Eupen,Eupen
Genk,Genk
Gent,Gent
Kortrijk,Kortrijk
KV Mechelen,Mechelen
Leuven,Oud-Heverlee Leuven
RWDM 47,Molenbeek
St. Gilloise,St. Gilloise
St. Truiden,St.Truiden
Standard Liege,Standard
Westerlo,Westerlo
Ajax,Ajax
Almere City,Almere City FC
AZ Alkmaar,AZ Alkmaar
Excelsior,Excelsior
FC Volendam,FC Volendam
Feyenoord,Feyenoord
Go Ahead Eagles,Go Ahead Eagles
Heerenveen,SC Heerenveen
Heracles,SC Heracles Almelo
Nijmegen,NEC Nijmegen
PSV,PSV Eindhoven
Sittard,Fortuna Sittard
Sparta Rotterdam,Sparta
Twente,FC Twente
Utrecht,FC Utrecht
Vitesse,Vitesse
Waalwijk,RKC Waalwijk
Zwolle,PEC Zwolle
Aarau,FC Aarau
Baden,Baden
Bellinzona,Bellinzona
Schaffhausen,Schaffhausen
Sion,FC Sion
Stade Nyonnais,Stade Nyonnais
Thun,Thun
Vaduz,Vaduz
Wil,FC Wil
Xamax,Neuchâtel Xamax
Basel,FC Basel
Grasshoppers,Grasshoppers
Lausanne,FC Lausanne-Sport
Lausanne Ouchy,Stade Lausanne Ouchy
Lugano,Lugano
Luzern,Lucerne
Servette Geneve FC,Servette
St. Gallen,St. Gallen
Winterthur,FC Winterthur
Young Boys,Young Boys
Yverdon,Yverdon Sport
Zurich,Zurich
A. Klagenfurt,Austria Klagenfurt
Altach,SC Rheindorf Altach
Austria Lustenau,Austria Lustenau
Austria Vienna,Austria Vienna
Blau-Weiß Linz,FC BW Linz
Hartberg,TSV Hartberg
LASK Linz,LASK
Rapid Vienna,Rapid Vienna
Salzburg,SV Salzburg
Sturm Graz,Sturm Graz
Wolfsberger AC,Wolfsberger AC
WSG Swarovski Tirol,WSG Swarovski Tirol
Debrecen,Debrecen
DVTK,Diosgyor
Ferencvaros,Ferencvaros
Kecskemeti TE,Kecskeméti TE
Kisvarda,Kisvárda FC
Mezokovesd-Zsory,Mezőkövesdi SE
MTK Budapest,MTK Hungaria
Paks,Paksi FC
Puskas Academy,Puskás Akadémia FC
Ujpest,Újpest FC
Feherver FC,Videoton FC Fehervar
Zalaegerszegi,Zalaegerszegi TE
Dinamo Zagreb,Dinamo Zagreb
Hajduk Split,Hajduk Split
HNK Gorica,HNK Gorica
Istra 1961,NK Istra 1961
Lokomotiva,NK Lokomotiva
Varazdin,NK Varaždin
Osijek,Osijek
Rijeka,Rijeka
Rudes,Rudeš
Belupo,Slaven Belupo Koprivnica
Aluminij,NK Aluminij
Celje,Celje
Domzale,Domzale
Koper,Koper
Maribor,NK Maribor
Mura,NŠ Mura
NK Bravo,NK Bravo
NK Olimpija Ljubljana,Olimpija Ljubljana
Radomlje,Radomlje
Rogaska,Rogaška
AEK Athens FC,AEK
Aris,Aris
Asteras Tripolis,Asteras Tripolis
Atromitos,Atromitos
Giannina,Giannina
Kifisias,Kifisia
Lamia,Lamia
OFI Crete,OFI
Olympiakos Piraeus,Olympiakos
Panathinaikos,Panathinaikos
Panetolikos,Panetolikos
Panserraikos,Panserraikos
PAOK,PAOK
Volos NFC,NFC Volos
Banska Bystrica,Dukla Banská Bystrica
DAC Dunajska Streda,DAC 1904 Dunajská Streda
FC Kosice,Kosice
Michalovce,MFK Zemplín Michalovce
Podbrezova,FK Železiarne Podbrezová
Ruzomberok,MFK Ružomberok
Skalica,Skalica
Slovan Bratislava,Slovan Bratislava
Trencin,Trencin
Trnava,FC Spartak Trnava
Zilina,MSK Zilina
Zlate Moravce,ViOn Zlaté Moravce
Aberdeen,Aberdeen
Celtic,Celtic
Dundee FC,Dundee FC
Hearts,Hearts
Hibernian,Hibernian
Kilmarnock,Kilmarnock
Livingston,Livingston
Motherwell,Motherwell
Rangers,Rangers
Ross County,Ross County
St Johnstone,St Johnstone
St. Mirren,St Mirren
Adana Demirspor,Adana Demirspor
Alanyaspor,Alanyaspor
Ankaragucu,Ankaragucu
Antalyaspor,Antalyaspor
Basaksehir,Istanbul Basaksehir
Besiktas,Besiktas
Fenerbahce,Fenerbahce
Galatasaray,Galatasaray
Gaziantep,Gaziantep FK
Hatayspor,Hatayspor
Istanbulspor AS,Istanbulspor
Karagumruk,Karagumruk
Kasimpasa,Kasimpasa
Kayserispor,Kayserispor
Konyaspor,Konyaspor
Pendikspor,Pendikspor
Rizespor,Rizespor
Samsunspor,Samsunspor
Sivasspor,Sivasspor
Trabzonspor,Trabzonspor
Akhmat Grozny,Terek Grozny
Baltika,Baltika Kaliningrad
CSKA Moscow,CSKA Moscow
Dynamo Moscow,Dinamo Moscow
Fakel,Fakel Voronezh
FK Krylya Sovetov Samara,Krylya Sovetov Samara
FK Rostov,FK Rostov
Krasnodar,FC Krasnodar
Lokomotiv Moscow,Lok. Moscow
Nizhny Novgorod,Nizhny Novgorod
Orenburg,Gazovik Orenburg
Rubin Kazan,FK Rubin Kazan
Sochi,PFC Sochi
Spartak Moscow,Spartak Moscow
Ural,Ural S.R
Zenit Petersburg,Zenit St Petersburg
America MG,America MG
Atlético Mineiro,Atletico MG
Atletico-PR,Atletico PR
Bahia,Bahia
Botafogo RJ,Botafogo RJ
Bragantino,Bragantino
Corinthians,Corinthians
Coritiba,Coritiba
Cruzeiro,Cruzeiro
Cuiaba Esporte,Cuiaba
Flamengo RJ,Flamengo
Fluminense,Fluminense
Fortaleza,Fortaleza
Goias,Goias
Gremio,Gremio
Internacional,Internacional
Palmeiras,Palmeiras
Santos,Santos FC
Sao Paulo,Sao Paulo
Vasco,Vasco da Gama
Argentinos Jrs,Argentinos Juniors
Arsenal Sarandi,Arsenal Sarandi
Atletico Tucuman,Atletico Tucuman
Banfield,Banfield
Barracas Central,Barracas Central
Belgrano,Belgrano
Boca Juniors,Boca Juniors
Central Cordoba,Central Córdoba de Santiago del Estero
Colon Santa FE,Colon
Defensa y Justicia,Defensa y Justicia
Estudiantes L.P.,Estudiantes de la Plata
Gimnasia La Plata,Gimnasia LP
Godoy Cruz,Godoy Cruz
Huracan,Huracan
Independiente,Independiente
Instituto,Instituto ACC
Lanus,Lanus
Newells Old Boys,Newells Old Boys
Platense,Platense
Racing Club,Racing Club
River Plate,River Plate
Rosario Central,Rosario Central
San Lorenzo,San Lorenzo
Sarmiento Junin,Sarmiento
Talleres Cordoba,Talleres de Cordoba
Tigre,Tigre
Union de Santa Fe,Union
Velez Sarsfield,Velez Sarsfield
Audax Italiano,Audax Italiano
Cobresal,Cobresal
Colo Colo,Colo-Colo
Copiapo,Deportes Copiapó
Coquimbo,Coquimbo Unido
Curico Unido,Curicó Unido
Everton,Everton de Viña del Mar
Huachipato,Huachipato
Magallanes,Magallanes
Nublense,Ñublense
O'Higgins,OHiggins
Palestino,Palestino
U. Catolica,Universidad Católica
U. De Chile,Universidad de Chile
U. Espanola,Unión Española
Union La Calera,Unión La Calera
Boston River,Boston River
CA Cerro,CA Cerro
CA Torque,Montevideo City Torque
Cerro Largo,Cerro Largo FC
Club Nacional,Nacional Montevideo
Danubio,Danubio
Defensor Sporting,Defensor Sporting
Fenix,Fenix
La Luz,La Luz
Liverpool M.,Liverpool Montevideo
Maldonado,Deportivo Maldonado
Penarol,Peñarol
Plaza Colonia,Plaza Colonia
Racing Montevideo,Racing Montevideo
River Plate,CA River Plate
Wanderers,Wanderers
Cerro Porteno,Cerro Porteño
Guarani,Club Guaraní
Libertad Asuncion,Club Libertad
Nacional Asuncion,Club Nacional
Olimpia Asuncion,Club Olimpia
General Caballero JLM,General Caballero
Guairena FC,Guaireña FC
Resistencia,Resistencia
Ameliano,Sportivo Ameliano
Sportivo Luqueno,Sportivo Luqueño
Sportivo Trinidense,Sportivo Trinidense
Tacuary,Tacuary
Always Ready,Always Ready
Vinto,Atlético Palmaflor
Aurora,Aurora
Blooming,Blooming
Bolivar,Bolivar
Guabira,Club Deportivo Guabirá
Independiente Petroleros,Independiente Petrolero
Libertad Gran Mamore,Libertad Gran Mamoré
Nacional Potosi,Nacional Potosí
Oriente Petrolero,Oriente Petrolero
Santa Cruz,Real Santa Cruz
Tomayapo,Real Tomayapo
Royal Pari,Royal Pari
The Strongest,The Strongest
Universitario de Vinto,Universitario de Vinto
Vaca Diez,Vaca Díez
Wilstermann,Wilstermann
AD Cantolao,Academia Deportiva Cantolao
Alianza Atl.,Alianza Atlético
Alianza Lima,Alianza Lima
ADT Tarma,Asociación Deportiva Tarma
Grau,Atlético Grau
Carlos Mannucci,Carlos A Mannucci
Dep. Municipal,CC Deportivo Municipal
Cienciano,Cienciano
Cusco,Cusco FC
Binacional,EM Deportivo Binacional
FBC Melgar,FBC Melgar
Sport Boys,Sport Boys Association
Sport Huancayo,Sport Huancayo
Sporting Cristal,Sporting Cristal
Union Comercio,Union Comercio
Cesar Vallejo,Universidad César Vallejo
Cajamarca,Universidad Técnica de Cajamarca
Club Universitario de Deportes,Universitario
Deportivo Garcilaso,Deportivo Garcilaso
Aucas,SD Aucas
Barcelona SC,Barcelona SC
Cumbaya,Cumbayá
Delfin,Delfin SC
Deportivo Cuenca,Deportivo Cuenca
El Nacional,El Nacional
Emelec,Emelec
Gualaceo,Gualaceo
Guayaquil City,Guayaquil City FC
Independiente del Valle,Independiente del Valle
LDU Quito,LDU Quito
Libertad,Libertad FC
Mushuc Runa,Mushuc Runa SC
Orense,Orense SC
Tecnico U.,Técnico Universitario
Universidad Catolica,Universidad Católica del Ecuador
Petrolera,Alianza Petrolera F.C.
America De Cali,América de Cali
Bucaramanga,Atlético Bucaramanga
Huila,Atlético Huila
Junior,Atlético Junior
Atletico Nacional,Atlético Nacional
Chico,Boyacá Chicó F.C.
Deportes Tolima,Deportes Tolima
Deportivo Cali,Deportivo Cali
Deportivo Pasto,Deportivo Pasto
Pereira,Deportivo Pereira
Envigado,Envigado F.C.
Ind. Medellin,Independiente Medellín
Santa Fe,Independiente Santa Fe
Jaguares de Cordoba,Jaguares de Córdoba
La Equidad,La Equidad
Millonarios,Millonarios F.C.
Once Caldas,Once Caldas
Aguilas,Rionegro Águilas
Union Magdalena,Union Magdalena
Angostura,Angostura
Carabobo,Carabobo F.C.
Caracas,Caracas F.C.
Dep. Tachira,Deportivo Táchira F.C.
Estudiantes Merida,Estudiantes de Mérida F.C.
Hermanos Colmenares,Hermanos Colmenarez
La Guaira,Real Esppor Club
Metropolitanos,Metropolitanos F.C.
Mineros,Mineros de Guayana
Monagas,Monagas S.C.
Portuguesa,Portuguesa F.C.
Puerto Cabello,Puerto Cabello F.C.
Rayo Zuliano,Rayo Zuliano
Universidad Central,Universidad Central
Zamora,Zamora F.C.
Atlas,Atlas
Atlético San Luis,Atletico de San Luis
Guadalajara Chivas,CD Guadalajara
Club America,CF America
Cruz Azul,Cruz Azul
Juarez,FC Juarez
Club Leon,Leon
Mazatlan FC,Mazatlán
Monterrey,Monterrey
Necaxa,Necaxa
Pachuca,Pachuca
Puebla,Puebla
U.N.A.M.- Pumas,Pumas
Queretaro,Queretaro FC
Santos Laguna,Santos
U.A.N.L.- Tigres,Tigres
Club Tijuana,Tijuana
Toluca,Toluca
Athlone,Athlone Town
Bray,Bray Wanderers
Cobh Ramblers,Cobh Ramblers
Finn Harps,Finn Harps FC
Galway,Galway United
Kerry,Kerry
Longford,Longford Town
